percentage,confidence,stock_name,ticker,marketcap
5.97,32.31,NVIDIA Corporation,NVDA,4421808291840
4.11,27.68,Microsoft Corporation,MSFT,2968566104064
3.49,24.6,"Meta Platforms, Inc.",META,1575052902400
21.63,35.71,Broadcom Inc.,AVGO,1523418660864
4.86,22.37,"Tesla, Inc.",TSLA,1498233438208
2.12,36.12,JP Morgan Chase & Co.,JPM,773751701504
7.6,60.84,Exxon Mobil Corporation,XOM,661723676672
10.46,54.58,Johnson & Johnson,JNJ,573821026304
42.25,29.67,"Micron Technology, Inc.",MU,519636353024
4.02,37.41,Mastercard Incorporated,MA,452091084800
6.96,27.1,Oracle Corporation,ORCL,444895559680
12.49,34.49,"Netflix, Inc.",NFLX,400264691712
38.91,27.61,Palantir Technologies Inc.,PLTR,370901057536
5.24,46.94,Bank of America Corporation,BAC,345261998080
10.52,46.41,"Caterpillar, Inc.",CAT,328521678848
17.01,32.69,GE Aerospace,GE,318648713216
7.18,37.13,"Merck & Company, Inc.",MRK,286476075008
35.48,28.44,Lam Research Corporation,LRCX,284453109760
8.2,60.24,RTX Corporation,RTX,273676943360
6.16,28.15,UnitedHealth Group Incorporated,UNH,261020352512
3.78,28.68,Morgan Stanley,MS,250611974144
6.97,37.66,"Goldman Sachs Group, Inc. (The)",GS,242054299648
15.48,46.35,International Business Machines,IBM,240335945728
2.79,14.01,"T-Mobile US, Inc.",TMUS,238633402368
2.43,15.19,SHOPIFY INC,SHOP.TO,229468012544
16.81,52.29,TORONTO-DOMINION BANK,TD.TO,220361916416
23.79,26.7,Intel Corporation,INTC,220087566336
12.0,35.18,AT&T Inc.,T,197441175552
23.81,53.97,KLA Corporation,KLAC,194638036992
9.27,32.94,Abbott Laboratories,ABT,192378880000
2.05,24.41,"Citigroup, Inc.",C,188419145728
2.26,23.36,"Salesforce, Inc.",CRM,183005462528
5.64,42.13,Charles Schwab Corporation (The,SCHW,166907674624
28.42,30.65,Amphenol Corporation,APH,166091522048
3.9,18.64,Boeing Company (The),BA,165671665664
13.98,38.21,"Uber Technologies, Inc.",UBER,161634435072
4.37,25.73,"Analog Devices, Inc.",ADI,153130123264
2.45,32.34,"BlackRock, Inc.",BLK,151032381440
3.1,25.3,Welltower Inc.,WELL,148732936192
9.82,37.18,Southern Copper Corporation,SCCO,146230116352
3.04,32.22,Booking Holdings Inc. Common St,BKNG,143193243648
4.97,26.92,QUALCOMM Incorporated,QCOM,140544049152
9.79,41.07,"Palo Alto Networks, Inc.",PANW,138059038720
4.2,58.04,Danaher Corporation,DHR,138040672256
3.75,31.05,Blackstone Inc.,BX,136893349888
2.59,44.12,Accenture plc,ACN,123196792832
2.87,32.38,"ServiceNow, Inc.",NOW,123156291584
13.86,42.3,Newmont Corporation,NEM,121173843968
10.31,53.54,McKesson Corporation,MCK,116254326784
4.7,36.8,Capital One Financial Corporati,COF,114074689536
22.74,55.3,"HCA Healthcare, Inc.",HCA,114018254848
4.54,28.95,Medtronic plc.,MDT,113546788864
4.8,20.7,"Altria Group, Inc.",MO,112420642816
10.35,42.77,Constellation Energy Corporatio,CEG,111380807680
17.01,51.94,"CrowdStrike Holdings, Inc.",CRWD,109865631744
5.46,29.37,Spotify Technology S.A.,SPOT,108141707264
9.85,30.13,Western Digital Corporation,WDC,107291418624
4.32,24.52,Boston Scientific Corporation,BSX,105652641792
7.78,30.24,BROOKFIELD ASSET MANAGEMENT LTD,BAM.TO,99764486144
10.31,50.32,CVS Health Corporation,CVS,95174107136
2.6,26.44,Trane Technologies plc,TT,94318903296
4.06,29.0,Intercontinental Exchange Inc.,ICE,91696119808
8.94,25.94,"MercadoLibre, Inc.",MELI,87611834368
4.99,28.04,American Tower Corporation (REI,AMT,86639902720
5.71,28.05,"Quanta Services, Inc.",PWR,85528453120
3.82,22.91,WHEATON PRECIOUS METALS CORP,WPM.TO,85364449280
5.26,38.11,KKR & Co. Inc.,KKR,82396848128
3.56,15.67,"Synopsys, Inc.",SNPS,82235662336
3.57,30.05,"Nike, Inc.",NKE,81598726144
3.37,19.38,"Regeneron Pharmaceuticals, Inc.",REGN,80246620160
7.02,52.57,3M Company,MMM,78509899776
3.95,44.54,Monster Beverage Corporation,MNST,75904024576
9.08,30.79,"O'Reilly Automotive, Inc.",ORLY,75454464000
6.12,38.25,"Mondelez International, Inc.",MDLZ,74763370496
34.17,35.14,"Cloudflare, Inc.",NET,74450870272
11.78,30.56,"DoorDash, Inc.",DASH,73769943040
6.58,28.79,Brookfield Asset Management Inc,BAM,72898510848
10.74,46.81,American Electric Power Company,AEP,72269914112
9.31,41.52,The Cigna Group,CI,70379642880
22.99,27.87,"Robinhood Markets, Inc.",HOOD,69638856704
5.44,21.25,Carvana Co.,CVNA,68972961792
7.15,38.9,"Warner Bros. Discovery, Inc. - ",WBD,68575240192
21.64,28.8,CAMECO CORP,CCO.TO,66527666176
3.24,49.33,Norfolk Southern Corporation,NSC,65422327808
2.58,21.64,"Elevance Health, Inc.",ELV,65273405440
8.9,50.46,"Cencora, Inc.",COR,65111363584
2.15,16.0,"Air Products and Chemicals, Inc",APD,63713013760
6.13,40.05,"Apollo Global Management, Inc. ",APO,63202213888
5.48,31.29,PACCAR Inc.,PCAR,60703993856
18.24,30.97,Snowflake Inc.,SNOW,59748122624
4.68,13.85,THOMSON REUTERS CORPORATION,TRI.TO,58228715520
10.46,30.99,"AutoZone, Inc.",AZO,56819412992
8.08,26.53,"Coinbase Global, Inc. - 3",COIN,56690114560
11.68,56.22,Vistra Corp.,VST,55679197184
3.43,34.34,"ONEOK, Inc.",OKE,54514069504
14.61,31.84,Ciena Corporation,CIEN,52348551168
5.79,33.82,KINROSS GOLD CORP.,K.TO,51301752832
5.43,49.07,Exelon Corporation,EXC,51185545216
10.77,31.43,FAIRFAX FINANCIAL HOLDINGS LTD.,FFH.TO,50846740480
4.51,33.43,Xcel Energy Inc.,XEL,50789814272
12.11,37.15,"Comfort Systems USA, Inc.",FIX,50243481600
14.07,26.85,Strategy Inc,MSTR,50156355584
8.08,49.5,Edwards Lifesciences Corporatio,EW,48944013312
12.32,36.79,AngloGold Ashanti PLC,AU,48582422528
7.95,25.19,Ubiquiti Inc.,UI,47721857024
9.73,48.07,Ford Motor Company,F,47634333696
4.53,30.49,Carrier Global Corporation,CARR,47626383360
23.25,26.92,Lumentum Holdings Inc.,LITE,46378582016
2.28,34.6,"MetLife, Inc.",MET,45661192192
4.09,16.72,"Datadog, Inc.",DDOG,45600817152
5.64,26.66,Ferguson Enterprises Inc.,FERG,45360492544
25.6,25.46,CELESTICA INC,CLS.TO,44482359296
35.97,31.44,"Alnylam Pharmaceuticals, Inc.",ALNY,42495111168
20.12,63.88,"POWER CORPORATION OF CANADA, SV",POW.TO,42333204480
5.6,43.14,"American International Group, I",AIG,41353109504
26.2,32.72,Roblox Corporation,RBLX,40956125184
7.16,37.96,Heico Corporation,HEI,40768671744
4.12,32.9,CBRE Group Inc,CBRE,40555970560
15.52,54.06,"Rockwell Automation, Inc.",ROK,40182497280
7.96,36.33,"Old Dominion Freight Line, Inc.",ODFL,38564024320
6.23,30.32,"Take-Two Interactive Software, ",TTWO,38279471104
4.9,51.56,"WEC Energy Group, Inc.",WEC,38181572608
14.5,30.03,"Coupang, Inc.",CPNG,38026383360
3.53,26.28,"Roper Technologies, Inc.",ROP,37984174080
12.41,28.93,Keurig Dr Pepper Inc.,KDP,37458423808
20.19,25.7,"AST SpaceMobile, Inc.",ASTS,36560023552
5.34,38.25,Ares Management Corporation,ARES,34968252416
2.84,9.22,Kenvue Inc.,KVUE,34060328960
2.73,15.69,State Street Corporation,STT,33953220608
10.36,33.8,Kimberly-Clark Corporation,KMB,33351561216
2.75,31.44,GE HealthCare Technologies Inc.,GEHC,32968935424
2.66,27.92,"Prudential Financial, Inc.",PRU,32882520064
7.65,44.15,"NRG Energy, Inc.",NRG,32865216512
5.14,21.53,Otis Worldwide Corporation,OTIS,32790689792
12.38,30.96,"EMCOR Group, Inc.",EME,32614170624
2.67,18.3,Iron Mountain Incorporated (Del,IRM,31938367488
3.77,12.43,"Fiserv, Inc.",FISV,31308359680
10.02,49.57,DTE Energy Company,DTE,31033413632
34.67,38.08,Insmed Incorporated,INSM,31024384000
4.14,48.37,Ameren Corporation,AEE,31023124480
6.98,54.58,Atmos Energy Corporation,ATO,30933772288
10.6,40.18,Veeva Systems Inc.,VEEV,30690091008
6.17,37.43,"Cboe Global Markets, Inc.",CBOE,30656122880
3.87,43.94,VICI Properties Inc.,VICI,30589382656
9.35,50.82,Xylem Inc.,XYL,29644791808
2.66,32.92,Cognizant Technology Solutions ,CTSH,29595881472
5.34,16.97,"Expedia Group, Inc.",EXPE,29561538560
3.66,48.65,Dover Corporation,DOV,29326102528
4.4,43.94,PPL Corporation,PPL,28872720384
3.1,14.24,"Charter Communications, Inc.",CHTR,28796172288
3.49,34.56,Fair Isaac Corporation,FICO,28464902144
7.02,47.19,Edison International,EIX,28058951680
4.71,20.39,Jabil Inc.,JBL,28025004032
2.99,24.02,Tradeweb Markets Inc.,TW,27565416448
12.18,38.99,Eversource Energy (D/B/A),ES,27200974848
12.41,42.65,FIRST QUANTUM MINERALS LTD,FM.TO,27197632512
3.39,43.07,"American Water Works Company, I",AWK,26983694336
7.26,31.2,Royalty Pharma plc,RPRX,26670448640
3.51,17.77,TechnipFMC plc,FTI,26431342592
2.91,28.69,"Constellation Brands, Inc.",STZ,26403078144
3.0,18.44,"DexCom, Inc.",DXCM,26255894528
3.57,23.64,W.R. Berkley Corporation,WRB,26164457472
2.42,35.67,Fidelity National Information S,FIS,26011643904
7.88,40.26,Expand Energy Corporation,EXE,25578375168
47.64,30.28,"Zscaler, Inc.",ZS,25083348992
13.73,37.93,Curtiss-Wright Corporation,CW,25055795200
2.1,28.77,Tractor Supply Company,TSCO,25028003840
12.06,34.98,Fox Corporation,FOXA,24800589824
2.67,32.71,"Mettler-Toledo International, I",MTD,24651411456
10.42,28.17,Fox Corporation,FOX,24607868928
17.86,35.09,Flex Ltd.,FLEX,24180590592
8.25,32.17,"MasTec, Inc.",MTZ,24038746112
3.68,21.75,Lennar Corporation,LEN,24026685440
2.0,32.1,"Darden Restaurants, Inc.",DRI,23711723520
2.05,25.29,LPL Financial Holdings Inc.,LPLA,23529160704
3.68,30.89,"Equifax, Inc.",EFX,22926852096
